 Daytime,Elapsed,Hydro,Hydro %,Set Up,Set Up %,
 Advection,Advection %,HTurb,HTurb %,VTurb,VTurb %,Behavior,
 Behavior %,Update,Update %
        1.2083,       10.0155,        0.0000,        0.0000,        0.0992,        0.9901,        8.2890,       82.7617,        0.0210,        0.2098,        0.0330,        0.3295,        0.0080,        0.0800,        1.5263,       15.2395
        1.2500,       10.1834,        0.0000,        0.0000,        0.1091,        1.0717,        8.4489,       82.9669,        0.0190,        0.1870,        0.0210,        0.2062,        0.0130,        0.1274,        1.5323,       15.0475
        1.2917,       10.6984,        0.5039,        4.7101,        0.1101,        1.0289,        8.4100,       78.6102,        0.0201,        0.1877,        0.0160,        0.1495,        0.0230,        0.2148,        1.5694,       14.6692
        1.3333,       10.3444,        0.0000,        0.0000,        0.0962,        0.9299,        8.6280,       83.4072,        0.0191,        0.1844,        0.0209,        0.2018,        0.0170,        0.1643,        1.5312,       14.8027
        1.3750,       10.5994,        0.0000,        0.0000,        0.1603,        1.5127,        8.8192,       83.2043,        0.0221,        0.2082,        0.0189,        0.1785,        0.0209,        0.1975,        1.5210,       14.3498
        1.4167,       11.0353,        0.5509,        4.9922,        0.1011,        0.9162,        8.7841,       79.6001,        0.0270,        0.2445,        0.0190,        0.1723,        0.0171,        0.1546,        1.4991,       13.5850
        1.4583,       10.5714,        0.0000,        0.0000,        0.1238,        1.1712,        8.7948,       83.1947,        0.0181,        0.1709,        0.0221,        0.2087,        0.0230,        0.2177,        1.5456,       14.6205
        1.5000,       10.6794,        0.0000,        0.0000,        0.1379,        1.2916,        8.9223,       83.5470,        0.0320,        0.2998,        0.0130,        0.1220,        0.0100,        0.0940,        1.5280,       14.3084
        1.5417,       11.2143,        0.4829,        4.3062,        0.1139,        1.0159,        8.9789,       80.0661,        0.0280,        0.2498,        0.0180,        0.1608,        0.0199,        0.1774,        1.5336,       13.6757
        1.5833,       10.7964,        0.0000,        0.0000,        0.1121,        1.0379,        9.0883,       84.1795,        0.0249,        0.2309,        0.0239,        0.2216,        0.0270,        0.2499,        1.4681,       13.5979
        1.6250,       10.9553,        0.0000,        0.0000,        0.1170,        1.0680,        9.2661,       84.5804,        0.0150,        0.1371,        0.0089,        0.0816,        0.0190,        0.1735,        1.4823,       13.5304
        1.6667,       11.2263,        0.5799,        5.1658,        0.1379,        1.2282,        8.8921,       79.2080,        0.0170,        0.1517,        0.0159,        0.1414,        0.0139,        0.1242,        1.5306,       13.6339
        1.7083,       10.8694,        0.0000,        0.0000,        0.1261,        1.1598,        9.1803,       84.4607,        0.0210,        0.1934,        0.0150,        0.1384,        0.0230,        0.2120,        1.4579,       13.4125
        1.7500,       10.9224,        0.0000,        0.0000,        0.1309,        1.1986,        9.1676,       83.9342,        0.0241,        0.2205,        0.0110,        0.1006,        0.0160,        0.1464,        1.5197,       13.9141
        1.7917,       10.9703,        0.5199,        4.7391,        0.1080,        0.9848,        8.7496,       79.7569,        0.0240,        0.2189,        0.0100,        0.0910,        0.0190,        0.1736,        1.4977,       13.6521
        1.8333,       10.6054,        0.0000,        0.0000,        0.1131,        1.0664,        8.8812,       83.7424,        0.0311,        0.2929,        0.0180,        0.1701,        0.0240,        0.2259,        1.4900,       14.0496
        1.8750,       10.7643,        0.0000,        0.0000,        0.1149,        1.0677,        9.0456,       84.0326,        0.0239,        0.2220,        0.0140,        0.1301,        0.0180,        0.1673,        1.5040,       13.9718
        1.9167,       10.7094,        0.4330,        4.0427,        0.1140,        1.0640,        8.5584,       79.9154,        0.0150,        0.1405,        0.0171,        0.1599,        0.0200,        0.1869,        1.5077,       14.0782
