   564031.015252933      ,   462801.185479221     
   563741.739354316      ,   466085.781196566     
   563454.519619472      ,   469372.901383990     
   563168.429446726      ,   472660.025296563     
   562883.132801767      ,   475945.607003719     
   562598.480046968      ,   479228.591213095     
   562314.397729533      ,   482508.200497533     
   562030.848652535      ,   485783.830101114     
   561747.814661798      ,   489054.990183881     
   561465.288296392      ,   492321.271505335     
   561183.268370817      ,   495582.323776577     
   560901.757469500      ,   498837.841364519     
   560620.760435260      ,   502087.553520613     
   560340.283396748      ,   505331.217541612     
   560060.333090600      ,   508568.613928486     
   559780.916333451      ,   511799.542986138     
   559502.039544020      ,   515023.822540347     
   559223.708227441      ,   518241.286614207     
   558945.926316307      ,   521451.785051307     
   558668.695202969      ,   524655.184243649     
   558392.012149129      ,   527851.369389147     
   558115.867387140      ,   531040.249216209     
   557840.238190211      ,   534221.765254183     
   557565.074743041      ,   537395.910584541     
   557290.257768213      ,   540562.770369889     
   557015.419153647      ,   543722.589248437     
   556739.482247442      ,   546875.345034844     
   556461.413692565      ,   550019.735914080     
   556181.772831785      ,   553153.912623396     
   555901.932707123      ,   556277.298918316     
   555622.608168830      ,   559390.213761807     
   555343.989351342      ,   562492.866844708     
   555066.150444495      ,   565585.323060322     
   554789.132548884      ,   568667.574525444     
   554512.964161143      ,   571739.572933993     
   554237.668156903      ,   574801.245009681     
   553963.264695210      ,   577852.500661475     
   553689.772603899      ,   580893.237617726     
   553417.210114943      ,   583923.344191279     
   553145.595293967      ,   586942.700971531     
   552874.946317114      ,   589951.181856335     
   552605.281670432      ,   592948.654649526     
   552336.620312934      ,   595934.981350557     
   552068.981828875      ,   598910.018205525     
   551802.386588832      ,   601873.615551907     
   551536.855938864      ,   604825.617461071     
   551272.412442040      ,   607765.861155427     
   551009.080208142      ,   610694.176143848     
   550746.885371770      ,   613610.382969720     
   550485.856827688      ,   616514.291382360     
   550226.027436856      ,   619405.697587745     
   549967.436160715      ,   622284.379922714     
   549710.132218082      ,   625150.091615274     
   549454.184299328      ,   628002.547669969     
   549199.705224575      ,   630841.398877255     
   548946.939988163      ,   633666.181607099     
   548696.599428033      ,   636476.414189964     
   548449.760637691      ,   639272.437939756     
   548206.585193164      ,   642055.532423021     
   547966.027839970      ,   644826.339184326     
   547727.222068700      ,   647584.431171932     
   547489.924791907      ,   650329.209992353     
   547254.085221730      ,   653060.213941112     
   547019.703394730      ,   655777.051536657     
   546786.798936349      ,   658479.362716809     
   546555.401541024      ,   661166.799654483     
   546325.547480534      ,   663839.015889818     
   546097.278282474      ,   666495.659191098     
   545870.640368423      ,   669136.366133427     
   545645.685215851      ,   671760.757389111     
   545422.469885063      ,   674368.433140526     
   545201.057874105      ,   676958.968196050     
   544981.520334893      ,   679531.906437327     
   544763.937742854      ,   682086.754196074     
   544548.402181850      ,   684622.972059324     
   544335.020507665      ,   687139.964418301     
   544123.918816984      ,   689637.065766843     
   543915.248931892      ,   692113.522238380     
   543709.198126802      ,   694568.465987267     
   543506.004325203      ,   697000.878453486     
   543305.981065043      ,   699409.535632248     
   543109.561189610      ,   701792.922711952     
   542917.379851559      ,   704149.093278214     
   542730.450743717      ,   706475.420618396     
   542550.604825290      ,   708768.123070494     
   542381.877829224      ,   711021.342071417     
   542235.928511339      ,   713227.165221556     
   542136.567587176      ,   715389.730635370     
   542097.339522145      ,   717537.808550084     
   542100.776775896      ,   719699.170786313     
   542122.673598704      ,   721876.632712958     
   542152.358969602      ,   724061.829616343     
   542186.335480004      ,   726248.630549561     
   542223.088264679      ,   728432.951502604     
   542261.822528144      ,   730611.838041937     
   542302.071646673      ,   732782.991022360     
   542343.542560592      ,   734944.513933978     
   542386.044513565      ,   737094.766285585     
   542429.452654538      ,   739232.271229260     
   542473.688225659      ,   741355.652583998     
   542518.707536850      ,   743463.588270877     
   542564.496124384      ,   745554.772712177     
   542611.066397320      ,   747627.883418352     
   542658.458077629      ,   749681.548204155     
   542706.741400006      ,   751714.309818771     
   542756.023649833      ,   753724.584424589     
   542806.460428205      ,   755710.609224712     
   542858.274402286      ,   757670.372221998     
   542911.786969351      ,   759601.512654182     
   542967.474034578      ,   761501.171984775     
   543026.070927952      ,   763365.757514414     
   543088.788936832      ,   765190.541457685     
   543157.825234310      ,   766968.926109112     
   543237.822322452      ,   768690.999754012     
   543341.304237836      ,   770341.272852375     
   543503.813851418      ,   771907.855546001     
   543771.663859386      ,   773417.704869279     
   544149.143267598      ,   774932.654560483     
   544596.549905869      ,   776488.545101869     
   545079.851170575      ,   778083.225536819     
   545584.448897160      ,   779706.850320112     
   546103.427628256      ,   781352.051534752     
   546632.801943923      ,   783013.491532465     
   547169.968522882      ,   784687.124327481     
   547713.078669970      ,   786369.743339012     
   548260.738406962      ,   788058.709544539     
   548811.847543125      ,   789751.780628762     
   549365.505636751      ,   791446.998031318     
   549920.953298537      ,   793142.608487545     
   550477.533549859      ,   794837.006774271     
   551034.665218766      ,   796528.691690025     
   551591.823896569      ,   798216.230170053     
   552148.527829005      ,   799898.225989814     
   552704.327150709      ,   801573.290287154     
   553258.795499970      ,   803240.011375466     
   553811.523490829      ,   804896.921088293     
   554362.113925504      ,   806542.454092996     
   554910.179179983      ,   808174.894924005     
   555455.342226496      ,   809792.304187995     
   555997.245109643      ,   811392.408836655     
   556535.574814030      ,   812972.427641613     
   557070.134537299      ,   814528.771835426     
   557601.050931396      ,   816056.483820048     
   558129.476665923      ,   817548.078165092     
   558660.617308808      ,   818991.253044231     
   559214.664634595      ,   820371.423301037     
   559826.811053609      ,   821695.424579851     
